file,line,startCol,endCol,type,value,score
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,1,0,13,IPV4,47.51.177.219,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,1,91,160,HIGH_ENTROPY,"""Opera/9.70.(X11; Linux x86_64; niu-NU) Presto/2.9.177 Version/10.00""",4.894776544287523
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,2,0,13,IPV4,214.53.97.106,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,2,99,164,HIGH_ENTROPY,"""Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/4.1)""",4.8851963213223994
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,4,0,11,IPV4,80.0.13.124,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,4,86,185,HIGH_ENTROPY,"""Mozilla/5.0 (Windows NT 4.0) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/41.0.865.0 Safari/536.1""",5.117591439041751
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,5,0,9,IPV4,37.57.6.3,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,5,88,149,HIGH_ENTROPY,"""Mozilla/5.0 (compatible; MSIE 6.0; Windows 95; Trident/4.0)""",4.86050434551134
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,6,0,12,IPV4,171.87.86.90,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,6,89,188,HIGH_ENTROPY,"""Mozilla/5.0 (Windows NT 5.01; cs-CZ; rv:1.9.0.20) Gecko/9339-12-29 09:41:50.824738 Firefox/3.6.16""",5.068715271958218
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,6,130,138,IPV4,1.9.0.20,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,7,0,15,IPV4,143.101.103.143,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,7,90,224,HIGH_ENTROPY,"""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_7 rv:2.0; lo-LA) AppleWebKit/534.12.6 (KHTML, like Gecko) Version/4.0.5 Safari/534.12.6""",5.221383665397487
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,8,0,14,IPV4,165.132.79.159,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,8,96,205,HIGH_ENTROPY,"""Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_8; rv:1.9.5.20) Gecko/7884-02-21 21:14:37.087128 Firefox/3.8""",5.086062959744821
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,8,150,158,IPV4,1.9.5.20,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,9,0,133,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""INFO"",""service"":""search"",""msg"":""request completed"",""user"":""glennmartin"",""trace"":""Z51vTfGPlcpT""}",4.740989394542491
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,11,51,65,IPV4,172.31.224.229,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,13,50,64,IPV4,192.168.52.135,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,14,0,13,IPV4,29.162.190.45,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,14,92,162,HIGH_ENTROPY,"""Mozilla/5.0 (Android 7.1.2; Mobile; rv:14.0) Gecko/14.0 Firefox/14.0""",4.7235169027462796
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,15,0,132,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""INFO"",""service"":""search"",""msg"":""user session created"",""user"":""debra31"",""trace"":""xbxtl8nv8XFm""}",4.681752831658179
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,16,0,140,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""DEBUG"",""service"":""billing"",""msg"":""retrying upstream"",""user"":""fitzgeraldvictor"",""trace"":""2YgGXI1V4HcQ""}",4.893239538763942
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,17,0,123,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""ERROR"",""service"":""auth"",""msg"":""cache miss"",""user"":""hmcintyre"",""trace"":""l1SXNZ5kUCcA""}",4.741641411699352
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,18,0,133,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""ERROR"",""service"":""notify"",""msg"":""retrying upstream"",""user"":""kimberly73"",""trace"":""WVYCoIpt9ZYE""}",4.878753935870566
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,19,0,127,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""WARN"",""service"":""notify"",""msg"":""db slow query"",""user"":""heather73"",""trace"":""DXsXyGHA9k0m""}",4.913392218347131
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,20,0,134,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""WARN"",""service"":""billing"",""msg"":""token refreshed"",""user"":""taylorcharles"",""trace"":""E3xJ7gT2H2hs""}",4.807475774806237
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,21,0,138,HIGH_ENTROPY,"{""ts"":""2025-09-07T18:24:48Z"",""level"":""WARN"",""service"":""search"",""msg"":""user session created"",""user"":""rachelwallace"",""trace"":""j1Bf86o0C4w7""}",4.705741798903476
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,21,147,189,HIGH_ENTROPY,AIzaLpyR6FoBLXi87O5YOyoR4tn31zLuRJo-D4Pwfw,4.8145873631004195
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,22,45,57,IPV4,10.163.161.2,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,23,0,13,IPV4,51.50.125.124,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,23,89,183,HIGH_ENTROPY,"""Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/7105-03-23 01:09:10.731323 Firefox/3.6.12""",4.897690544415075
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,23,125,133,IPV4,1.9.7.20,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,24,0,14,IPV4,213.210.164.90,2.0
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,24,86,193,HIGH_ENTROPY,"""Mozilla/5.0 (Macintosh; PPC Mac OS X 10_7_9; rv:1.9.6.20) Gecko/8652-10-23 03:37:29.278229 Firefox/3.6.17""",5.083372567267863
/Users/vamsisaripudi/Documents/1MTSU/SEM3/Parallel Processing Concepts/Final Project/Codebase/CSCI_6330_Final_Project/data-corpus/test-corpus/log_000006.txt,24,135,143,IPV4,1.9.6.20,2.0
